"","X","Link","Keyword","description","Job_Title","City","State","keywordtag"
"1",1,"http://jobview.monster.com/advanced-data-analytics-scientist-job-basking-ridge-nj-us-171453206.aspx?mescoid=1500152001001&jobPosition=3","data scientist","Advanced Data Analytics Scient...
Enter Your Email Address
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Advanced Data Analytics Scient...
Email Address
Thank you for your interest in the Advanced Data Analytics Scientist.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
Locations: Alpharetta, GA and Basking Ridge, NJ
Lead a highly skilled team and define processes that identify and mitigate risks using cuttingedge
Big Data technologies and modern investigative techniques-keeping our client at the forefront of
innovation and driving success for our Fortune 15 Client. If you are interested in a path to becoming a
data scientist and developing great business acumen by leveraging your critical thinking and problem
solving skills, we are very interested in you.
Overview
The Principle Member Technical Staff (PMTS) of Risk Data Analytics will be part of an objective
assurance and consulting team that is independently managed within our client's organization designed
to add value and improve operations. The Internal Audit team assists the Audit Committee of the Board of
Directors management in accomplishing their objectives by bringing a systematic and disciplined
approach to evaluate and improve the effectiveness of the overall control environment, risk management,
and governance processes. The Internal Audit PMTS gains extensive exposure to diverse aspects of the
business and technical landscape. These assignments include increasing levels of responsibilities and
presentations to senior management, making Internal Audit an excellent place to work for high potential
employees.
As Wikipedia states, ""Data Scientist have the ability to find and interpret rich data sources, manage large
amounts of data despite hardware, software and bandwidth constraints, merge data sources together,
ensure consistency of data-sets, create visualizations to aid in understanding data and building rich tools
that enable others to work effectively.""
Responsibilities
The PMTS of Risk Data Analytics (FAAST) is responsible for three key areas and the advancement of
audit analytics over strategic areas for Internal Audit. This leadership role includes specialized support
enabling FAAST to realize the data analytic center of excellence of a best-in-class audit function. 
This role is responsible for staging and managing data needed to perform advanced analysis as well as
managing relationships with data owners. The PMTS requires SME-level knowledge of the tools,
technologies and practices needed to perform in-depth analysis of both structured transactional data, and
semi-structured or unstructured data. 
In addition, this role is responsible for deciding the priorities of projects and leads the development of 
analytics and tools that help identify and mitigate risks. As leader in the FAAST team, the PMTS position 
will require a decisive, motivated and talented self-driven team player to lead and develop the Data Science
skills across the team.
The successful candidate will:
. Lead the data management design and architecture efforts to enable advanced analytics using
structured and unstructured 'big' data. The role will involve the use of SQL, Hive, Aster and other
tools to assist in analysis.
. Play a significant role with respect to infrastructure problem solving, opportunity identification
and own complex projects to lead the advancement of technical skills within Finance. Furthering
the enterprises goal to enhance the skill set of Finance by creating a more technically savvy
employee.
. Influence senior management decisions by developing new ideas and implementing projects
which lead analysis efforts. Enhance the culture through management of staff resources, to
execute analytics in support of Internal Audits.
. Work closely with senior management to understand data and its relationship to business
process and controls. Prioritize general objectives into defined projects and establish scope,
timeline, and resources to successfully meet commitments. Obtain project requests from senior
management, determine feasibility and accept or deny requests based on decision made by the
Senior Consultant.
. Mentor team members to ensure professional growth and development of data science skillset
and leadership qualities.
. Reporting directly to the Sr. Manager at times interacting with Director, Executive Director and/or
Senior VP.
. BS/BA degree in Management Information Systems, Computer Science, Engineering, Applied
Statistics or related field/skill set. At least a 3.0/4.0 overall GPA or equivalent. Master's degree preferred
. 6+ year's work experience; IT, technology, accounting, audit, finance, or economics
. Strong understanding of risk management methodology and factors. Must have successfully
completed investigations within a Fortune 20 company
. Experience designing, developing, implementing and maintaining a database and programs to
manage data analysis efforts
. Experience with Hadoop
. Strong business analytical skills a must; ability to apply business logic to design and implement
data mining techniques on large data sets.
. Demonstrated ability to work autonomously and with a team while executing independent
decision making abilities in a fast pace environment
. Strong interpersonal skills and ability to handle multiple demands and competing priorities.
. Excellent written and verbal skills
. Experience leading a team preferred
. One of the following certifications preferred but not required: CPA, CFE, CISA, CISSP, PMP,
CEH
About Delane Consulting Staffing
Delane Consulting, LLC and Delane Staffing, LLC's clientele-base includes some of the most globally renowned companies. Becoming a trusted business partner, we provide our clients with award-winning project and program management expertise, quality, speed, and a laser beam focus on execution, thereby achieving long-term results. We have a constantly growing team of industry experts who become partners in your business to help discover your firm's true potential, providing unimaginable opportunities. We can be there with you at every step of the way of your organization's journey; from providing strategies, to implementing ideas, to assisting you in reinvigorating the enterprise. Delane ensures significant value for your company-both today and into the future.
","advanced-data-analytics-scientist","basking-ridge","nj","excel,excel,SQL,Hive,Hadoop,Excel"
"2",2,"http://jobview.monster.com/consulting-data-scientist-job-charlotte-nc-us-173969790.aspx?mescoid=1500152001001&jobPosition=1","data scientist","Consulting Data Scientist
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Email Address
Thank you for your interest in the Consulting Data Scientist.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
© 2015 Ciber All Rights Reserved
Consulting Data Scientist
 
 
Role Description:
Ciber, Inc. is seeking a Consulting Data Scientist in Charlotte, NC!
Responsibilities:
Maintain existing models and score new data sets as required.
Write Hive UDF's to run R code in Hadoop.
Develop predictive models using a variety of supervised machine learning techniques.
Build analytical data sets in Hadoop.
Execute exploratory data analysis and manipulate results as needed to support modeling objectives.
 
Fundamental SQL skills to obtain data
Strong knowledge of a statistical analysis tool [preferably, SAS or R] to do the quantitative work. 
Degree in a quantitative field with emphasis on statistics, mathematics, econometrics, industrial engineering, and/or computer science.
2-4 years working with supervised and unsupervised machine learning techniques including logistic regression, k-means, random forests.
1-2 years working in Hadoop environment, experience writing map/reduce code.
1-2 years manipulating large data sets in Hive.
Strong model coding skills in SAS, R, Matlab, Python, or Spark.
Strong SQL skills.
 
 
 
 
 
Ciber is a global IT consulting company with approximately 5,500 employees in North America, Europe and Asia/Pacific. Ciber partners with organizations to develop technology strategies and solutions that deliver tangible business value. Founded in 1974, the company trades on the New York Stock Exchange (CBR). For more information, visit www.Ciber.com .
Location:
","consulting-data-scientist","charlotte","nc","Hive, R ,Hadoop,Hadoop,SQL,SAS,Hadoop,Hive,SAS,Matlab,Python,Spark,SQL"
"3",3,"http://jobview.monster.com/data-scientist-4-job-unspecified-ca-us-173939555.aspx?mescoid=1500152001001&jobPosition=3","data scientist","Data Scientist 4
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Email Address
Thank you for your interest in the Data Scientist 4.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
Job Description:
Northrop Grumman Enterprise shared services is seeking a Data Scientist to join our Analytics team.   
We are embarking on an enterprise initiative to use analytics to drive innovation and help us differentiate ourselves from our competitors. Individuals in this role are expected to be comfortable with a variety of programming languages and statistical techniques. Individuals are also expected to possess business strategy skills to apply these techniques and build the algorithms necessary to ask the right questions and find the right answers.   The ideal candidate will have a keen interest in the tools and processes of data science and a passion for identifying and answering questions that help us achieve the best value to the customer.
Responsibilities Include:
Lead cross sector teams working enterprise level analytics use cases to analyze data, identify/answer important questions, and deliver value for the company
Provide thought leadership and guidance to business leaders and other analytics teams
Communicate findings to various levels of management
Drive the collection of new data and the refinement of existing data sources
Develop descriptive visuals to communicate results
Experience with statistics in both unsupervised and supervised learning techniques
 
 
A strong passion for problem solving using empirical research and for answering hard questions with data
Experience solving analytical problems using quantitative and qualitative approaches
Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner
Understanding and ability to integrate multiple systems and data sets
Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
Proficient in the following Programming Languages
SQL, Python
Understanding of Hadoop Ecosystem and ability to program and develop applications in
Some experience with Pig, Hive, SOLR, SPARK
A flexible analytic approach that allows for results at varying levels of precision
Preferred Qualifications:
Experience with Statistical Packages such as SPSS or SAS
Experience with Programming Languages - C#, ASP.Net, JSP, Servlets, VB.NET, VB6, HTML5, CSS, jQuery, JavaScript, XML, VBScript, OQL, UML, C++, familiar with C, XQuery, XPath, XSLT, PowerShell
Databases:
Microsoft SQL Enterprise Server, Sybase, MS-Access, MySQL Server, DB2, Oracle
Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO . U.S. Citizenship is required for most positions.
Company
Career Level
Experienced (Non-Manager)
©2016Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. U.S. Citizenship is required for most positions. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO
","data-scientist-4","unspecified","ca","SQL,Python,Hadoop,Pig,Hive,SPSS,SAS,Java,SQL,SQL"
"4",6,"http://jobview.monster.com/data-scientist-job-houston-tx-us-174080162.aspx?mescoid=1500152001001&jobPosition=3","data scientist","Data Scientist
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Data Scientist
Email Address
Thank you for your interest in the Data Scientist.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
 
A global leader in the oil and gas industry located in the Houston area is seeking a Data Scientist to add totheir team.
Description:
·         The Data Scientist works with the advanced analytics team on data and business intelligence resources to build and deliver advanced analytics capabilities to business segments, and to support the business and IT transformation as well as supporting oil and gas customers via commercial software products.
·         Successful Data Scientists can lead analytic teams, are familiar with statistical and machine learning algorithms including classification, and have good knowledge of oilfield terminology and business practices.
·         They are experienced with regression, clustering, statistical learning, and ensemble methods, and are comfortable entering into ambiguously defined business problem statements and reducing them to tangible outputs.
·         With excellent communication, verbal and written, teamwork and influencing skills, they have experience with big data analytics stack technologies and tools including R, Hadoop, Spark, and Python, and other open source stack elements and frameworks.
·         They are experienced with putting analytics in production and can interpret the outcomes of data analysis objectively and communicate that information to management and technical stakeholders.
 
·         Develops and deploys modern machine learning, statistical and ensemble methods for finding patterns and models from business and operational data
·         Performs in-depth investigations of data problems employing statistical skills and developing predictions
·         Develops and delivers synthesized predictive research findings that incorporate multiple business operational databases and provide tangible business insight
·         Uses analytics and data to understand business KPIs and to develop ways to extend them towards increasing fidelity or insight
·         Works with multi-functional teams focused on enterprise data, data quality, business intelligence, operational data and enterprise resource planning integration to deliver data driven insights
·         Engages with the external technical and business community to brand and differentiate analytics
·         Participates in technical and recruitment forums and events
 
 
Experience:
·         Minimum of 7 years of Strong Professional experience in Data Science
·         Experience with enterprise systems SAS and SAP, and other similar technologies is a plus
·         Experience with Big Data analytics stack technologies and tools. R, Hadoop, Spark, Python etc.
·         Experience with essential statistical and machine learning algorithms, including classification. Regression, clustering, statistical learning, ensemble methods
 
·         Must be able to work in the US without Sponsorship
·         Knowledge of Oilfield terminology and business practices
·         Ability to work in global distributed setting
·         Self-driven, Proactive, Systems Thinking
About Burnett Specialists
Burnett Specialists has been helping careers and companies grow in Texas since 1974. We are Texas' most award-winning staffing and placement firm with the longest tenured staff. Our top ranked recruiters specialize in accounting, administrative, clerical, convention support, engineering, HR, IT, legal, light industrial, manufacturing, sales, supply chain, and TeleSkills / call center. Headquartered in Houston, Texas (1974), we also have offices in Austin (1983), El Paso (1996), San Antonio (2001), and in Dallas (1999 - Choice Specialists). Our longevity, expertise, and outstanding service have allowed us to establish strong relationships with companies in diverse industries. We care about our candidates and invest our resources in their success. To learn more, visit us at www.burnettspecialists.com or www.choicespecialists.com .
","data-scientist","houston","tx","excel,Hadoop,Spark,Python,SAS,Hadoop,Spark,Python"
"5",8,"http://jobview.monster.com/data-scientist-job-job-seattle-wa-us-174236739.aspx?mescoid=1500152001001&jobPosition=3","data scientist","DATA SCIENTIST Job
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Email Address
Thank you for your interest in the DATA SCIENTIST Job.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
PURPOSE:
The Devices Research and Innovation (DRI)-US Data Scientist will contribute to DRI-US vision to explore and develop new technology, product ideas, and game-changers that may hold the potential to add value to patients and Novo Nordisk in the future within therapeutic areas covered by Novo Nordisk corporate strategy.
The Data Scientist will act as an expert in identifying data sources and interpretation of the right data in order to give essential input to the design of attractive products that balance satisfying user needs with innovative technical solutions and business potential according to Novo Nordisk corporate strategy.
The Data Scientist will be responsible for developing, implementing and applying technical platforms. At the same time, the Data Scientist will be a strong team player, who contributes to development of device solutions and acts as a role model for others to follow.
RELATIONSHIPS:
The Data Scientist reports to a DRI-US Senior Project Manager. Internal relationships include R&D colleagues in DRI-US and Device R&D colleagues in Denmark. This includes peer development engineers as well as specialists in Device Innovation Support (DIS) area. External relationships include relationships with commercial collaboration partners as well as academia, and NNRC Seattle drug researchers may be included.
ESSENTIAL FUNCTIONS:
With a career at Novo Nordisk, you ll feel a difference right from the start. It s a sense of inspiration and mobility that comes from a shared belief in driving positive change for people, families, and communities everywhere. Congratulations on taking your first step!
     Novo Nordisk is committed to equal employment opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. We value and encourage diversity and solicit applications from all qualified applicants without regard to race, color, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, physical or mental disability, medical condition, veteran status, genetic information, or any other characteristic protected by federal, state, or local law.
Novo Nordisk will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor s legal duty to furnish information.
If you are interested in applying for employment with Novo Nordisk and need special assistance or an accommodation to use our website or to apply for a position, please call the U.S. Toll Free number at 1-855-411-5290 or click on the following link to submit your request: https://www.surveymonkey.com/r/novoaccommodation . Please note we do not accept applications for employment or employment related solicitations through this site. If you are requesting special assistance, please specify your request by selecting
Employer's Job# 41271BR
Please visit job URL for more information about this opening and to view EOE statement.
Job Summary
Veteran Preference
Company Details
View More Jobs
","data-scientist-job","seattle","wa",""
"6",9,"http://jobview.monster.com/data-scientist-job-lexington-sc-us-171747126.aspx?mescoid=1500152001001&jobPosition=3","data scientist","Data Scientist
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Data Scientist
Email Address
Thank you for your interest in the Data Scientist.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
What you will bring to the mix:
·         3-5 years of experience on a development team, shipping production software.
·         Agile software development practice.
·         At least 3 years of experience with Java SpringSource or equivalent experience with an object-oriented language such as C++, C#.
·         Data Mining and Machine learning experience including:
- Solid understanding and experience in applying and implementing machine learning algorithms and concepts such as: K-means Clustering (varieties), Gaussian distribution, decision tree, boosting, etc.
- Experience working with BigData and Machine learning analytics tools such as: R, Neo4J, MADlib, Spark, Hadoop MapReduce.
·         Experience with REST based API development and JSON data formats.
·         Familiar with test-driven development methodologies and have experience with a testing framework such as Junit.
 
Core Technology Solutions is an Equal Opportunity Employer and offers a variety of employment opportunities and benefits.
Please check out our website for additional opportunities. Ask about our Employee Referral Program! We offer fees for any placement of referred candidates. Please inquire about details.
About Core Technology Solutions
Through the building of relationships, Core Technology Solutions prides itself with more than two decades of experience in providing world class service.
OUR TEAM
Our highly qualified and motivated recruiting and sales team is based in Chapin, SC and brings to the table, expertise in matching candidates with clients based on their technical skills, personality and career goals. We have placed countless candidates from all over the country in IT positions across diverse industry lines - from SaaS providers to insurance and financial service organizations. We provide the same excellent service to a small business as we would to a multi-national company.
Our success is founded on four key principles:
We have a national reach and a local touch
Relationships are extremely important to us
Flexibility to create unique solutions for unique situations
Quality and world class customer service are a primary focus for us
","data-scientist","lexington","sc","Java,Spark,Hadoop,MapReduce,excel"
"7",12,"http://jobview.monster.com/data-scientist-job-redmond-wa-us-172122123.aspx?mescoid=1500152001001&jobPosition=3","data scientist","Data Scientist
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Data Scientist
Email Address
Thank you for your interest in the Data Scientist.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
Job Description: Manipulate large volumes of data, create new and improved techniques and/or solutions for data collection, management and usage. Drive the collection of new data and the refinement of existing data sources. Design and help implement data engineering for task automation. Apply statistical concepts and techniques to analyze experiments and user behavior. Work with stakeholders, product managers, developers and other stakeholders to develop and review designs and business requirements to analyze and streamline data.
Minimum Requirements:
·         Education: Master's or foreign degree equivalent in Computer Science, Engineering, Mathematics, Information Systems, Physics or related field of education.
·         Education or Experience in: R; Python; SQL and/or T-SQL; Modeling; Scripting; and ETL.
Multiple job openings. Qualified candidates must meet the minimum requirements for the position. To apply, visit: https://jobs-microsoft.icims.com/jobs/6169/job?mode=view . Microsoft Corporation is an equal opportunity employer.
Internal Ref: FJIJI101887DR
View More Jobs
","data-scientist","redmond","wa","Python,SQL,SQL"
"8",13,"http://jobview.monster.com/data-scientist-job-redmond-wa-us-174125144.aspx?mescoid=1500152001001&jobPosition=3","data scientist","Data Scientist
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Data Scientist
Email Address
Thank you for your interest in the Data Scientist.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
DESCRIPTION/RESPONSIBILITIES:
Cognizant has immediate openings for Data Scientist. If you meet our background requirements and skills, are looking for an opportunity to be rewarded for your skills and expertise, is the ideal opportunity for you!
VEVRAA Federal Contractor
EOE -Veteran /Disabled/Minority/AA/F/M/SO
REQUIRED SKILLS:
 * 2+ years of experience working with large amounts of real data
 * Expertise in at least one statistical software package, preferably Python
 * Experience with visualization tools such as d3, matplotlib, ggplot
 * Experience with ETL & ML tools in R, Python, and Java such as scikit-learn, pandas, matplotlib, statsmodel, ipython, Weka
 * Proficiency in SQL
 * Experience in Hadoop/Spark and/or other MapReduce paradigms is a plus
 * Experience in Deep Learning is a plus
 * Ability to translate business objectives into actionable analyses
 * Ability to communicate findings clearly to both technical and non-technical audiences
 * Top-down thinker, excellent communicator, and great problem solver. Must be a strong team player
 * Open-minded and excited to learn new things. Have strong opinions but willing to change with new data
 * Ms/PhD in a CS or related discipline with domain expertise in Machine Learning, Statistics, Information Retrieval, or Graph Analysis
VEVRAA Federal Contractor
EOE -Veteran /Disabled/Minority/AA/F/M/SO
1   Adobe Flash NA  Required
2   Adobe Photoshop NA  Required
3   ANSI SQLNA  Required
Proficiency Level Generic Reference
PL1   The associate has basic awareness and comprehension of the skill and is in the process of acquiring this skill through various channels.
PL2   The associate possesses working knowledge of the skill, and can actively and independently apply this skill in engagements and projects.
PL3   The associate has comprehensive, in-depth and specialized knowledge of the skill. She / he has extensively demonstrated successful application of the skill in engagements or projects.
PL4   The associate can function as a subject matter expert for this skill. The associate is capable of analyzing, evaluating and synthesizing solutions using the skill.
About Cognizant
Cognizant (NASDAQ: CTSH) is a leading provider of information technology, consulting, and business process services, dedicated to helping the world's leading companies build stronger businesses. Headquartered in Teaneck, New Jersey (U.S.), Cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. With over 100 development and delivery centers worldwide and approximately 233,000 employees as of March 31, 2016, Cognizant is a member of the NASDAQ-100, the S&P 500, the Forbes Global 2000, and the Fortune 500 and is ranked among the top performing and fastest growing companies in the world. Visit us online at www.cognizant.com or follow us on Twitter: USJobsCognizant.
Job Summary
Veteran Preference
Company Details
Contact method
Contact Info
Job Information
","data-scientist","redmond","wa","Python,d3,Python,Java,python,SQL,Hadoop,Spark,MapReduce,excel,SQL"
"9",15,"http://jobview.monster.com/data-scientist-job-santa-clara-ca-us-174225823.aspx?mescoid=1500152001001&jobPosition=3","data scientist","DATA SCIENTIST
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
DATA SCIENTIST
Email Address
We are now looking for a DATA SCIENTIST:
 
What you'll be doing:
-Mine massive amounts of data and perform large-scale data analysis to derive useful business insights into product, customer, and market behavior
-Understand business problems, translate them into quantitative models, and choose the best applicable statistical and analytical tools to drive a solution
-Develop descriptive, predictive, and prescriptive models using deep learning algorithms.
-Identify actionable insights, suggest recommendations, and influence the direction of the business by effectively communicating results to cross functional groups
What we need to see:
-PhD in a quantitative discipline: Statistics, Applied Mathematics, Operations Research, Computer Science, etc.
-5+ years of experience in using statistical, data mining and machine learning techniques to solve business problems
-Strong applied experience with Deep Learning frameworks like TensorFlow, Theano, Keras, Caffe preferably on large consumer datasets
-Deep knowledge and experience with machine learning algorithms and statistical tools like Python sklearn, R
-Experience with algorithmic work on NLP datasets is a plus
-A passion for problem-solving, developing creative solutions, and continuous learning
NVIDIA is widely considered to be one of the technology world's most desirable employers. We have some of the most brilliant and talented people on the planet working for us. If you're creative and autonomous, we want to hear from you!
We are an AA/EEO/Veterans/Disabled employer.
#deeplearning
Visualize your future . . . We Do
NVIDIA is the world leader in graphics processing technologies, creating innovative, industry-changing products for computing, consumer electronics, and mobile devices. NVIDIA products are transforming visually-rich applications such as video games, film production, broadcasting, industrial design, space exploration, and medical imaging. We invest in our people and our technologies, support and fund industry research around the world, and consistently deliver high-quality products. NVIDIA's culture promotes and inspires a team of world-class employees to be at the top of their game. We've created an environment where talents are recognized and collaboration is valued. Our employees are shaping the world of tomorrow. . . today. We invite you to explore the opportunities available at NVIDIA to see what your future may hold.
","data-scientist","santa-clara","ca","Python"
"10",16,"http://jobview.monster.com/data-scientist-job-seattle-wa-us-171170609.aspx?mescoid=1500152001001&jobPosition=1","data scientist","Data Scientist
Let The Jobs Come To You
Enter your email address below to receive jobs like this sent to your email.
Send Jobs Similar To
Data Scientist
Email Address
Thank you for your interest in the Data Scientist.
To begin the application process, please enter your information below.
We will save a record of this application.
Email
..
Job DescriptionDo you want to work hard, have fun, and make history? Do you have a passion for machine learning, data science, recommendations systems, or similar technology areas? Amazon Web Services (AWS), a leader in cloud computing, is looking for a talented Data Scientist to help revolutionize the way we sell to and serve customers using big data and analytics. In this role, you will join a team of dedicated and passionate technologists building the next generation of predictive models and tools aimed at helping customers succeed.
Key Responsibilities include, but are not limited to:
Design, scope and drive development of a data-driven customer targeting mechanism using internal and externally-derived data to assist field sales prioritize their account outreach.
Collaborate with internal resources to gather, curate and build data sets needed to successfully construct the targeting mechanism and evolve the program for continuous improvement.
Manage the deployment and future roadmap of the customer targeting mechanism and accompanying program end-to-end
Design and implement metrics to measure enablement program adoption, impact, and effectiveness. Measure and report on the effectiveness of sales enablement investments.
Basic QualificationsTo be successful in this role, we are looking for someone with:
8+ years of experience leveraging Data Science, Machine Learning, Recommendations Systems, or similar to build practical, data-driven programs for improving sales productivity
Big thinker that can take broad visions and concepts and develop structured plans, actions and measureable metrics and then execute those plans.
Excellent communications skills including, presenting, editing, and writing as well as accuracy and attention to detail required.
Proven excellence in program management and project management.
Proven ability to lead and manage at senior levels without direct authority.
A fast-thinking, high-energy individual who can demonstrate a ""find a way to win"" attitude and sense of humor while working with a wide range of personalities will thrive in this role.
Experience building and leading technical teams across a wide variety of technical domains.
Preferred QualificationsCandidates with fewer years of experience but solid track records of successfully thinking big and delivering results will be considered
Experience with AWS technology
Master's degree in relevant field
Proven experience designing and implementing programs that improve sales and/or field productivity
Amazon is an Equal Opportunity-Affirmative Action Employee Minority/Female/Disability/Vet
Amazon is an Equal Opportunity-Affirmative Action Employer - Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation
Job Summary
Veteran Preference
Company Details
Contact method
Contact Info
Job Information
View More Jobs
","data-scientist","seattle","wa","Excel,excel"
