"X","Link","Keyword","description","Job_Title","City","State","keywordtag"
"1","http://jobview.monster.com/advanced-data-analytics-scientist-job-basking-ridge-nj-us-171453206.aspx?mescoid=1500152001001&jobposition=3","data scientist","advanced data analytics scient...
enter your email address
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
advanced data analytics scient...
email address
thank you for your interest in the advanced data analytics scientist.
to begin the application process, please enter your information below.
we will save a record of this application.
email
locations: alpharetta, ga and basking ridge, nj
lead a highly skilled team and define processes that identify and mitigate risks using cuttingedge
big data technologies and modern investigative techniques-keeping our client at the forefront of
innovation and driving success for our fortune 15 client. if you are interested in a path to becoming a
data scientist and developing great business acumen by leveraging your critical thinking and problem
solving skills, we are very interested in you.
overview
the principle member technical staff (pmts) of risk data analytics will be part of an objective
assurance and consulting team that is independently managed within our client's organization designed
to add value and improve operations. the internal audit team assists the audit committee of the board of
directors management in accomplishing their objectives by bringing a systematic and disciplined
approach to evaluate and improve the effectiveness of the overall control environment, risk management,
and governance processes. the internal audit pmts gains extensive exposure to diverse aspects of the
business and technical landscape. these assignments include increasing levels of responsibilities and
presentations to senior management, making internal audit an excellent place to work for high potential
employees.
as wikipedia states, ""data scientist have the ability to find and interpret rich data sources, manage large
amounts of data despite hardware, software and bandwidth constraints, merge data sources together,
ensure consistency of data-sets, create visualizations to aid in understanding data and building rich tools
that enable others to work effectively.""
responsibilities
the pmts of risk data analytics (faast) is responsible for three key areas and the advancement of
audit analytics over strategic areas for internal audit. this leadership role includes specialized support
enabling faast to realize the data analytic center of excellence of a best-in-class audit function. 
this role is responsible for staging and managing data needed to perform advanced analysis as well as
managing relationships with data owners. the pmts requires sme-level knowledge of the tools,
technologies and practices needed to perform in-depth analysis of both structured transactional data, and
semi-structured or unstructured data. 
in addition, this role is responsible for deciding the priorities of projects and leads the development of 
analytics and tools that help identify and mitigate risks. as leader in the faast team, the pmts position 
will require a decisive, motivated and talented self-driven team player to lead and develop the data science
skills across the team.
the successful candidate will:
. lead the data management design and architecture efforts to enable advanced analytics using
structured and unstructured 'big' data. the role will involve the use of sql, hive, aster and other
tools to assist in analysis.
. play a significant role with respect to infrastructure problem solving, opportunity identification
and own complex projects to lead the advancement of technical skills within finance. furthering
the enterprises goal to enhance the skill set of finance by creating a more technically savvy
employee.
. influence senior management decisions by developing new ideas and implementing projects
which lead analysis efforts. enhance the culture through management of staff resources, to
execute analytics in support of internal audits.
. work closely with senior management to understand data and its relationship to business
process and controls. prioritize general objectives into defined projects and establish scope,
timeline, and resources to successfully meet commitments. obtain project requests from senior
management, determine feasibility and accept or deny requests based on decision made by the
senior consultant.
. mentor team members to ensure professional growth and development of data science skillset
and leadership qualities.
. reporting directly to the sr. manager at times interacting with director, executive director and/or
senior vp.
. bs/ba degree in management information systems, computer science, engineering, applied
statistics or related field/skill set. at least a 3.0/4.0 overall gpa or equivalent. master's degree preferred
. 6+ year's work experience; it, technology, accounting, audit, finance, or economics
. strong understanding of risk management methodology and factors. must have successfully
completed investigations within a fortune 20 company
. experience designing, developing, implementing and maintaining a database and programs to
manage data analysis efforts
. experience with hadoop
. strong business analytical skills a must; ability to apply business logic to design and implement
data mining techniques on large data sets.
. demonstrated ability to work autonomously and with a team while executing independent
decision making abilities in a fast pace environment
. strong interpersonal skills and ability to handle multiple demands and competing priorities.
. excellent written and verbal skills
. experience leading a team preferred
. one of the following certifications preferred but not required: cpa, cfe, cisa, cissp, pmp,
ceh
about delane consulting staffing
delane consulting, llc and delane staffing, llc's clientele-base includes some of the most globally renowned companies. becoming a trusted business partner, we provide our clients with award-winning project and program management expertise, quality, speed, and a laser beam focus on execution, thereby achieving long-term results. we have a constantly growing team of industry experts who become partners in your business to help discover your firm's true potential, providing unimaginable opportunities. we can be there with you at every step of the way of your organization's journey; from providing strategies, to implementing ideas, to assisting you in reinvigorating the enterprise. delane ensures significant value for your company-both today and into the future.
","advanced-data-analytics-scientist","basking-ridge","nj","big data,business acumen,excel,excel,structured,structured,unstructured data,structured,structured,sql,hive,statistics,hadoop,data mining,excel"
"2","http://jobview.monster.com/consulting-data-scientist-job-charlotte-nc-us-173969790.aspx?mescoid=1500152001001&jobposition=1","data scientist","consulting data scientist
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
email address
thank you for your interest in the consulting data scientist.
to begin the application process, please enter your information below.
we will save a record of this application.
email
© 2015 ciber all rights reserved
consulting data scientist
 
 
role description:
ciber, inc. is seeking a consulting data scientist in charlotte, nc!
responsibilities:
maintain existing models and score new data sets as required.
write hive udf's to run r code in hadoop.
develop predictive models using a variety of supervised machine learning techniques.
build analytical data sets in hadoop.
execute exploratory data analysis and manipulate results as needed to support modeling objectives.
 
fundamental sql skills to obtain data
strong knowledge of a statistical analysis tool [preferably, sas or r] to do the quantitative work. 
degree in a quantitative field with emphasis on statistics, mathematics, econometrics, industrial engineering, and/or computer science.
2-4 years working with supervised and unsupervised machine learning techniques including logistic regression, k-means, random forests.
1-2 years working in hadoop environment, experience writing map/reduce code.
1-2 years manipulating large data sets in hive.
strong model coding skills in sas, r, matlab, python, or spark.
strong sql skills.
 
 
 
 
 
ciber is a global it consulting company with approximately 5,500 employees in north america, europe and asia/pacific. ciber partners with organizations to develop technology strategies and solutions that deliver tangible business value. founded in 1974, the company trades on the new york stock exchange (cbr). for more information, visit www.ciber.com .
location:
","consulting-data-scientist","charlotte","nc","hive, r ,hadoop,machine learning,hadoop,sql,sas, r] ,statistics,math,machine learning,regression,random forest,hadoop,hive,sas, r, ,matlab,python,spark,sql"
"3","http://jobview.monster.com/data-scientist-4-job-unspecified-ca-us-173939555.aspx?mescoid=1500152001001&jobposition=3","data scientist","data scientist 4
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
email address
thank you for your interest in the data scientist 4.
to begin the application process, please enter your information below.
we will save a record of this application.
email
job description:
northrop grumman enterprise shared services is seeking a data scientist to join our analytics team.   
we are embarking on an enterprise initiative to use analytics to drive innovation and help us differentiate ourselves from our competitors. individuals in this role are expected to be comfortable with a variety of programming languages and statistical techniques. individuals are also expected to possess business strategy skills to apply these techniques and build the algorithms necessary to ask the right questions and find the right answers.   the ideal candidate will have a keen interest in the tools and processes of data science and a passion for identifying and answering questions that help us achieve the best value to the customer.
responsibilities include:
lead cross sector teams working enterprise level analytics use cases to analyze data, identify/answer important questions, and deliver value for the company
provide thought leadership and guidance to business leaders and other analytics teams
communicate findings to various levels of management
drive the collection of new data and the refinement of existing data sources
develop descriptive visuals to communicate results
experience with statistics in both unsupervised and supervised learning techniques
 
 
a strong passion for problem solving using empirical research and for answering hard questions with data
experience solving analytical problems using quantitative and qualitative approaches
ability to communicate complex quantitative analysis in a clear, precise, and actionable manner
understanding and ability to integrate multiple systems and data sets
comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
proficient in the following programming languages
sql, python
understanding of hadoop ecosystem and ability to program and develop applications in
some experience with pig, hive, solr, spark
a flexible analytic approach that allows for results at varying levels of precision
preferred qualifications:
experience with statistical packages such as spss or sas
experience with programming languages - c#, asp.net, jsp, servlets, vb.net, vb6, html5, css, jquery, javascript, xml, vbscript, oql, uml, c++, familiar with c, xquery, xpath, xslt, powershell
databases:
microsoft sql enterprise server, sybase, ms-access, mysql server, db2, oracle
northrop grumman is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity/affirmative action employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. for our complete eeo/aa and pay transparency statement, please visit www.northropgrumman.com/eeo . u.s. citizenship is required for most positions.
company
career level
experienced (non-manager)
©2016northrop grumman is committed to hiring and retaining a diverse workforce. we are proud to be an equal opportunity/affirmative action employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. u.s. citizenship is required for most positions. for our complete eeo/aa and pay transparency statement, please visit www.northropgrumman.com/eeo
","data-scientist-4","unspecified","ca","statistics,sql,python,hadoop,pig,hive,spark,spss,sas,java,sql,sql"
"6","http://jobview.monster.com/data-scientist-job-houston-tx-us-174080162.aspx?mescoid=1500152001001&jobposition=3","data scientist","data scientist
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
data scientist
email address
thank you for your interest in the data scientist.
to begin the application process, please enter your information below.
we will save a record of this application.
email
 
a global leader in the oil and gas industry located in the houston area is seeking a data scientist to add totheir team.
description:
·         the data scientist works with the advanced analytics team on data and business intelligence resources to build and deliver advanced analytics capabilities to business segments, and to support the business and it transformation as well as supporting oil and gas customers via commercial software products.
·         successful data scientists can lead analytic teams, are familiar with statistical and machine learning algorithms including classification, and have good knowledge of oilfield terminology and business practices.
·         they are experienced with regression, clustering, statistical learning, and ensemble methods, and are comfortable entering into ambiguously defined business problem statements and reducing them to tangible outputs.
·         with excellent communication, verbal and written, teamwork and influencing skills, they have experience with big data analytics stack technologies and tools including r, hadoop, spark, and python, and other open source stack elements and frameworks.
·         they are experienced with putting analytics in production and can interpret the outcomes of data analysis objectively and communicate that information to management and technical stakeholders.
 
·         develops and deploys modern machine learning, statistical and ensemble methods for finding patterns and models from business and operational data
·         performs in-depth investigations of data problems employing statistical skills and developing predictions
·         develops and delivers synthesized predictive research findings that incorporate multiple business operational databases and provide tangible business insight
·         uses analytics and data to understand business kpis and to develop ways to extend them towards increasing fidelity or insight
·         works with multi-functional teams focused on enterprise data, data quality, business intelligence, operational data and enterprise resource planning integration to deliver data driven insights
·         engages with the external technical and business community to brand and differentiate analytics
·         participates in technical and recruitment forums and events
 
 
experience:
·         minimum of 7 years of strong professional experience in data science
·         experience with enterprise systems sas and sap, and other similar technologies is a plus
·         experience with big data analytics stack technologies and tools. r, hadoop, spark, python etc.
·         experience with essential statistical and machine learning algorithms, including classification. regression, clustering, statistical learning, ensemble methods
 
·         must be able to work in the us without sponsorship
·         knowledge of oilfield terminology and business practices
·         ability to work in global distributed setting
·         self-driven, proactive, systems thinking
about burnett specialists
burnett specialists has been helping careers and companies grow in texas since 1974. we are texas' most award-winning staffing and placement firm with the longest tenured staff. our top ranked recruiters specialize in accounting, administrative, clerical, convention support, engineering, hr, it, legal, light industrial, manufacturing, sales, supply chain, and teleskills / call center. headquartered in houston, texas (1974), we also have offices in austin (1983), el paso (1996), san antonio (2001), and in dallas (1999 - choice specialists). our longevity, expertise, and outstanding service have allowed us to establish strong relationships with companies in diverse industries. we care about our candidates and invest our resources in their success. to learn more, visit us at www.burnettspecialists.com or www.choicespecialists.com .
","data-scientist","houston","tx","business intelligence,machine learning,classification,regression,clustering,excel,communication,big data, r, ,hadoop,spark,python,machine learning,business intelligence,sas,big data, r, ,hadoop,spark,python,machine learning,classification,regression,clustering"
"8","http://jobview.monster.com/data-scientist-job-job-seattle-wa-us-174236739.aspx?mescoid=1500152001001&jobposition=3","data scientist","data scientist job
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
email address
thank you for your interest in the data scientist job.
to begin the application process, please enter your information below.
we will save a record of this application.
email
purpose:
the devices research and innovation (dri)-us data scientist will contribute to dri-us vision to explore and develop new technology, product ideas, and game-changers that may hold the potential to add value to patients and novo nordisk in the future within therapeutic areas covered by novo nordisk corporate strategy.
the data scientist will act as an expert in identifying data sources and interpretation of the right data in order to give essential input to the design of attractive products that balance satisfying user needs with innovative technical solutions and business potential according to novo nordisk corporate strategy.
the data scientist will be responsible for developing, implementing and applying technical platforms. at the same time, the data scientist will be a strong team player, who contributes to development of device solutions and acts as a role model for others to follow.
relationships:
the data scientist reports to a dri-us senior project manager. internal relationships include r&d colleagues in dri-us and device r&d colleagues in denmark. this includes peer development engineers as well as specialists in device innovation support (dis) area. external relationships include relationships with commercial collaboration partners as well as academia, and nnrc seattle drug researchers may be included.
essential functions:
with a career at novo nordisk, you ll feel a difference right from the start. it s a sense of inspiration and mobility that comes from a shared belief in driving positive change for people, families, and communities everywhere. congratulations on taking your first step!
     novo nordisk is committed to equal employment opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. we value and encourage diversity and solicit applications from all qualified applicants without regard to race, color, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, physical or mental disability, medical condition, veteran status, genetic information, or any other characteristic protected by federal, state, or local law.
novo nordisk will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor s legal duty to furnish information.
if you are interested in applying for employment with novo nordisk and need special assistance or an accommodation to use our website or to apply for a position, please call the u.s. toll free number at 1-855-411-5290 or click on the following link to submit your request: https://www.surveymonkey.com/r/novoaccommodation . please note we do not accept applications for employment or employment related solicitations through this site. if you are requesting special assistance, please specify your request by selecting
employer's job# 41271br
please visit job url for more information about this opening and to view eoe statement.
job summary
veteran preference
company details
view more jobs
","data-scientist-job","seattle","wa",""
"9","http://jobview.monster.com/data-scientist-job-lexington-sc-us-171747126.aspx?mescoid=1500152001001&jobposition=3","data scientist","data scientist
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
data scientist
email address
thank you for your interest in the data scientist.
to begin the application process, please enter your information below.
we will save a record of this application.
email
what you will bring to the mix:
·         3-5 years of experience on a development team, shipping production software.
·         agile software development practice.
·         at least 3 years of experience with java springsource or equivalent experience with an object-oriented language such as c++, c#.
·         data mining and machine learning experience including:
- solid understanding and experience in applying and implementing machine learning algorithms and concepts such as: k-means clustering (varieties), gaussian distribution, decision tree, boosting, etc.
- experience working with bigdata and machine learning analytics tools such as: r, neo4j, madlib, spark, hadoop mapreduce.
·         experience with rest based api development and json data formats.
·         familiar with test-driven development methodologies and have experience with a testing framework such as junit.
 
core technology solutions is an equal opportunity employer and offers a variety of employment opportunities and benefits.
please check out our website for additional opportunities. ask about our employee referral program! we offer fees for any placement of referred candidates. please inquire about details.
about core technology solutions
through the building of relationships, core technology solutions prides itself with more than two decades of experience in providing world class service.
our team
our highly qualified and motivated recruiting and sales team is based in chapin, sc and brings to the table, expertise in matching candidates with clients based on their technical skills, personality and career goals. we have placed countless candidates from all over the country in it positions across diverse industry lines - from saas providers to insurance and financial service organizations. we provide the same excellent service to a small business as we would to a multi-national company.
our success is founded on four key principles:
we have a national reach and a local touch
relationships are extremely important to us
flexibility to create unique solutions for unique situations
quality and world class customer service are a primary focus for us
","data-scientist","lexington","sc","java,data mining,machine learning,machine learning,clustering,decision tree,machine learning, r, ,spark,hadoop,mapreduce,excel"
"12","http://jobview.monster.com/data-scientist-job-redmond-wa-us-172122123.aspx?mescoid=1500152001001&jobposition=3","data scientist","data scientist
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
data scientist
email address
thank you for your interest in the data scientist.
to begin the application process, please enter your information below.
we will save a record of this application.
email
job description: manipulate large volumes of data, create new and improved techniques and/or solutions for data collection, management and usage. drive the collection of new data and the refinement of existing data sources. design and help implement data engineering for task automation. apply statistical concepts and techniques to analyze experiments and user behavior. work with stakeholders, product managers, developers and other stakeholders to develop and review designs and business requirements to analyze and streamline data.
minimum requirements:
·         education: master's or foreign degree equivalent in computer science, engineering, mathematics, information systems, physics or related field of education.
·         education or experience in: r; python; sql and/or t-sql; modeling; scripting; and etl.
multiple job openings. qualified candidates must meet the minimum requirements for the position. to apply, visit: https://jobs-microsoft.icims.com/jobs/6169/job?mode=view . microsoft corporation is an equal opportunity employer.
internal ref: fjiji101887dr
view more jobs
","data-scientist","redmond","wa","math, r; ,python,sql,sql"
"13","http://jobview.monster.com/data-scientist-job-redmond-wa-us-174125144.aspx?mescoid=1500152001001&jobposition=3","data scientist","data scientist
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
data scientist
email address
thank you for your interest in the data scientist.
to begin the application process, please enter your information below.
we will save a record of this application.
email
description/responsibilities:
cognizant has immediate openings for data scientist. if you meet our background requirements and skills, are looking for an opportunity to be rewarded for your skills and expertise, is the ideal opportunity for you!
vevraa federal contractor
eoe -veteran /disabled/minority/aa/f/m/so
required skills:
 * 2+ years of experience working with large amounts of real data
 * expertise in at least one statistical software package, preferably python
 * experience with visualization tools such as d3, matplotlib, ggplot
 * experience with etl & ml tools in r, python, and java such as scikit-learn, pandas, matplotlib, statsmodel, ipython, weka
 * proficiency in sql
 * experience in hadoop/spark and/or other mapreduce paradigms is a plus
 * experience in deep learning is a plus
 * ability to translate business objectives into actionable analyses
 * ability to communicate findings clearly to both technical and non-technical audiences
 * top-down thinker, excellent communicator, and great problem solver. must be a strong team player
 * open-minded and excited to learn new things. have strong opinions but willing to change with new data
 * ms/phd in a cs or related discipline with domain expertise in machine learning, statistics, information retrieval, or graph analysis
vevraa federal contractor
eoe -veteran /disabled/minority/aa/f/m/so
1   adobe flash na  required
2   adobe photoshop na  required
3   ansi sqlna  required
proficiency level generic reference
pl1   the associate has basic awareness and comprehension of the skill and is in the process of acquiring this skill through various channels.
pl2   the associate possesses working knowledge of the skill, and can actively and independently apply this skill in engagements and projects.
pl3   the associate has comprehensive, in-depth and specialized knowledge of the skill. she / he has extensively demonstrated successful application of the skill in engagements or projects.
pl4   the associate can function as a subject matter expert for this skill. the associate is capable of analyzing, evaluating and synthesizing solutions using the skill.
about cognizant
cognizant (nasdaq: ctsh) is a leading provider of information technology, consulting, and business process services, dedicated to helping the world's leading companies build stronger businesses. headquartered in teaneck, new jersey (u.s.), cognizant combines a passion for client satisfaction, technology innovation, deep industry and business process expertise, and a global, collaborative workforce that embodies the future of work. with over 100 development and delivery centers worldwide and approximately 233,000 employees as of march 31, 2016, cognizant is a member of the nasdaq-100, the s&p 500, the forbes global 2000, and the fortune 500 and is ranked among the top performing and fastest growing companies in the world. visit us online at www.cognizant.com or follow us on twitter: usjobscognizant.
job summary
veteran preference
company details
contact method
contact info
job information
","data-scientist","redmond","wa","python,d3,ggplot, r, ,python,java,pandas,python,sql,hadoop,spark,mapreduce,deep learning,excel,machine learning,statistics,sql"
"15","http://jobview.monster.com/data-scientist-job-santa-clara-ca-us-174225823.aspx?mescoid=1500152001001&jobposition=3","data scientist","data scientist
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
data scientist
email address
we are now looking for a data scientist:
 
what you'll be doing:
-mine massive amounts of data and perform large-scale data analysis to derive useful business insights into product, customer, and market behavior
-understand business problems, translate them into quantitative models, and choose the best applicable statistical and analytical tools to drive a solution
-develop descriptive, predictive, and prescriptive models using deep learning algorithms.
-identify actionable insights, suggest recommendations, and influence the direction of the business by effectively communicating results to cross functional groups
what we need to see:
-phd in a quantitative discipline: statistics, applied mathematics, operations research, computer science, etc.
-5+ years of experience in using statistical, data mining and machine learning techniques to solve business problems
-strong applied experience with deep learning frameworks like tensorflow, theano, keras, caffe preferably on large consumer datasets
-deep knowledge and experience with machine learning algorithms and statistical tools like python sklearn, r
-experience with algorithmic work on nlp datasets is a plus
-a passion for problem-solving, developing creative solutions, and continuous learning
nvidia is widely considered to be one of the technology world's most desirable employers. we have some of the most brilliant and talented people on the planet working for us. if you're creative and autonomous, we want to hear from you!
we are an aa/eeo/veterans/disabled employer.
#deeplearning
visualize your future . . . we do
nvidia is the world leader in graphics processing technologies, creating innovative, industry-changing products for computing, consumer electronics, and mobile devices. nvidia products are transforming visually-rich applications such as video games, film production, broadcasting, industrial design, space exploration, and medical imaging. we invest in our people and our technologies, support and fund industry research around the world, and consistently deliver high-quality products. nvidia's culture promotes and inspires a team of world-class employees to be at the top of their game. we've created an environment where talents are recognized and collaboration is valued. our employees are shaping the world of tomorrow. . . today. we invite you to explore the opportunities available at nvidia to see what your future may hold.
","data-scientist","santa-clara","ca","deep learning,statistics,math,data mining,machine learning,deep learning,machine learning,python, nlp "
"16","http://jobview.monster.com/data-scientist-job-seattle-wa-us-171170609.aspx?mescoid=1500152001001&jobposition=1","data scientist","data scientist
let the jobs come to you
enter your email address below to receive jobs like this sent to your email.
send jobs similar to
data scientist
email address
thank you for your interest in the data scientist.
to begin the application process, please enter your information below.
we will save a record of this application.
email
..
job descriptiondo you want to work hard, have fun, and make history? do you have a passion for machine learning, data science, recommendations systems, or similar technology areas? amazon web services (aws), a leader in cloud computing, is looking for a talented data scientist to help revolutionize the way we sell to and serve customers using big data and analytics. in this role, you will join a team of dedicated and passionate technologists building the next generation of predictive models and tools aimed at helping customers succeed.
key responsibilities include, but are not limited to:
design, scope and drive development of a data-driven customer targeting mechanism using internal and externally-derived data to assist field sales prioritize their account outreach.
collaborate with internal resources to gather, curate and build data sets needed to successfully construct the targeting mechanism and evolve the program for continuous improvement.
manage the deployment and future roadmap of the customer targeting mechanism and accompanying program end-to-end
design and implement metrics to measure enablement program adoption, impact, and effectiveness. measure and report on the effectiveness of sales enablement investments.
basic qualificationsto be successful in this role, we are looking for someone with:
8+ years of experience leveraging data science, machine learning, recommendations systems, or similar to build practical, data-driven programs for improving sales productivity
big thinker that can take broad visions and concepts and develop structured plans, actions and measureable metrics and then execute those plans.
excellent communications skills including, presenting, editing, and writing as well as accuracy and attention to detail required.
proven excellence in program management and project management.
proven ability to lead and manage at senior levels without direct authority.
a fast-thinking, high-energy individual who can demonstrate a ""find a way to win"" attitude and sense of humor while working with a wide range of personalities will thrive in this role.
experience building and leading technical teams across a wide variety of technical domains.
preferred qualificationscandidates with fewer years of experience but solid track records of successfully thinking big and delivering results will be considered
experience with aws technology
master's degree in relevant field
proven experience designing and implementing programs that improve sales and/or field productivity
amazon is an equal opportunity-affirmative action employee minority/female/disability/vet
amazon is an equal opportunity-affirmative action employer - minority / female / disability / veteran / gender identity / sexual orientation
job summary
veteran preference
company details
contact method
contact info
job information
view more jobs
","data-scientist","seattle","wa","machine learning,big data,machine learning,structured,excel,communication,excel,project management"
