<<<<<<< Updated upstream
,nData.postingID,nData.SearchTerm,nData.job.title,nData.company,nData.date,nData.location,nData.summary,nData.kWord
1,1,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
2,2,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
3,3,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
4,4,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
5,5,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
6,6,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
7,7,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
8,8,Data Scientist,Software Engineer - Machine Learning,Cognitive Scale,29 days ago,"Austin, TX 78730",The ability to understand some of the statistics and machine learning required by the domain. Our task is to manage this complexity with quality engineering....,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
9,9,Data Scientist,Data Scientist,Penn Schoen Berland,25 days ago,"Washington, DC","The Data Scientist will be focused on both basic and advanced statistical procedures possibly including but not limited to merging and manipulating datasets,...","Database(0), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
10,10,Data Scientist,"Quantitative Risk Analyst (Houston, TX)",Shell,5 days ago,"Houston, TX","Before applying, you are advised to read our data protection policy. Must have a masters degree in computer science or operation research, physics, applied math...","Database(0), Spark(0), SPSS(0), SAS(1), SQL(0), 5"
11,11,Data Scientist,Data Scientist,Cognitive Scale,22 days ago,"Austin, TX 78730",We are looking for highly motivated candidates with a stellar background in statistical machine learning and data mining -- specifically in some of the areas...,"Database(0), Spark(0), SPSS(0), SAS(0), SQL(0), 5"
12,12,Data Scientist,Data Scientist III,Sprint,30+ days ago,"Overland Park, KS",Identifies meaningful insights from large data and metadata sources; May be considered an expert in current and emerging technologies to create machine...,"Database(2), Spark(0), SPSS(1), SAS(1), SQL(1), 5"
