Date,Open,High,Low,Close,Adj Close,Volume
2007,146.529999,146.990005,126,137.369995,112.022667,6106834300
2008,90.440002,94.449997,80.050003,82.830002,69.172134,6872039400
2009,112.370003,115.139999,107.220001,107.389999,91.75856,3706842300
2010,126.709999,130.350006,125.699997,128.679993,112.108025,2860314700
2011,127.760002,133.399994,126.43,131.320007,116.808311,2883821400
2012,145.110001,150.940002,144.729996,149.699997,136.109879,2587140200
2013,183.979996,184.940002,176.880005,178.179993,165.276016,2530650900
2014,206.380005,206.880005,198.550003,199.449997,188.620041,3172346300
2015,200.490005,201.899994,181.020004,193.720001,186.981628,3706355900
2016,225.039993,229.710007,223.880005,227.529999,224.331726,1479754500
2017,264.76001,267.559998,260.76001,265.660004,265.660004,935944900
