Date,Open,High,Low,Close,Adj Close,Volume
2007,41.700001,42.169998,34.650002,39.950001,31.958731,359324000
2008,22.9,24.4,20.93,21.059999,17.285646,215556800
2009,33.580002,35.380001,30.120001,30.139999,25.264076,223790300
2010,38.82,39.110001,37.240002,38.439999,33.363113,209921200
2011,34.240002,37.73,34.23,37.18,32.958206,171601400
2012,38.41,39.869999,38.080002,39.02,35.402222,164005100
2013,45.939999,46.57,43.369999,44.040001,40.887264,120835300
2014,48.580002,49.09,46.439999,47.689999,45.150764,108888800
2015,42.720001,42.919998,36.290001,38.77,37.497635,187504300
2016,49.830002,53.259998,49.630001,51.959999,51.279255,98157900
2017,59.669998,60.169998,58.619999,59.02,59.02,55258000
