Date,Open,High,Low,Close,Adj Close,Volume
2007,23.62307,24.313566,19.585703,23.67181,14.824033,3713786200
2008,10.178717,10.414297,6.555645,7.506093,4.898334,4549773400
2009,11.795289,12.510154,11.364744,11.519091,7.68376,2849944100
2010,13.135662,13.614947,13.01381,13.322502,8.978183,2000351000
2011,10.787977,11.649066,10.658002,11.421609,7.824902,1871782200
2012,13.647441,14.216084,13.598701,14.118602,9.852005,1199147900
2013,17.725426,18.001625,16.945574,17.108042,12.154732,1145471000
2014,20.194963,24.24,18.683996,23.389999,16.966734,976266300
2015,18.960196,19.11454,16.677498,17.644192,13.105306,1391105700
2016,23.610001,23.799999,22.85,23.309999,23.042625,1172805900
2017,27.559999,28.33,26.950001,27.690001,27.690001,787469800
