Date,Open,High,Low,Close,Adj Close,Volume
2007,32.990002,32.990002,27.91,32.580002,28.059063,163843600
2008,21.620001,23.1,19.09,19.280001,16.872849,152499200
2009,29.9,30.540001,28.889999,28.91,25.768581,111659600
2010,37.709999,38.41,37.029999,37.18,33.614376,118246100
2011,39.669998,41.900002,39.23,41.32,37.962849,80019100
2012,48.330002,50.98,48.07,50.130001,46.822433,106343800
2013,66.699997,66.830002,62.43,62.82,59.449757,142214900
2014,72.529999,72.650002,68.5,69.989998,67.155769,157258000
2015,76.779999,77.150002,68.940002,74.110001,72.141426,225541400
2016,82.050003,85.639999,81.379997,84.830002,84.022575,102804700
2017,96.550003,98.370003,95.25,97.879997,97.879997,55276800
,,,,,,
