Date,AAPL,AMZN,GOOGL,FB,NFLX,Total,SPY,AAPL.d,AMZN.d,GOOGL.d,FB.d,NFLX.d,Total.d,SPY.d,AAPL.p,AMZN.p,GOOGL.p,FB.p,NFLX.p,Total.p
2007,173427,38462,216323,,1751,429963,13175588,1,1,1,,1,1,1,0.013162752,0.002919187,0.01641847,0,0.000132897,0.032633306
2008,75870.6,21990.5,96834.1,,1753.6,196448.8,8129635.5,-56.25214067,-42.8253861,-55.2363364,,0.148486579,-54.31030112,-38.29774049,0.009332596,0.00270498,0.011911247,0,0.000215705,0.024164527
2009,190786,58244.9,196700,,3010.3,448741.2,10287065,151.4623583,164.8639185,103.1309219,,71.66400547,128.4265417,26.53783801,0.018546203,0.005661955,0.0191211,0,0.00029263,0.043621888
2010,295887,80790.7,189937,,9181.6,575796.3,11697568,55.08842368,38.70862513,-3.438230808,,205.0061456,28.31366944,13.71142303,0.025294745,0.006906624,0.016237307,0,0.000784915,0.049223591
2011,376411,78717.9,209199,,3836,668163.9,11982408.4,27.21444335,-2.565641837,10.14125736,,-58.2207894,16.04171475,2.435039489,0.031413635,0.006569456,0.017458844,0,0.000320136,0.05576207
2012,499614,113634,232441,62796.6,5143,913628.6,13499871.5,32.73097758,44.35598511,11.10999575,,34.07194995,36.73719876,12.66409097,0.037008797,0.008417413,0.017218016,0.004651644,0.000380967,0.067676837
2013,500739,182540,377956,138535,21817,1221587,17482338.6,0.225173834,60.63854128,62.60298312,120.6090776,324.2076609,33.70717598,29.50003709,0.028642564,0.010441395,0.021619304,0.007924283,0.001247945,0.069875491
2014,642936,143694,360940,216818,20638.7,1385026.7,19331041,28.3974286,-21.28081516,-4.502111357,56.50774173,-5.400834212,13.37929267,10.57468593,0.033259254,0.00743333,0.018671524,0.011216054,0.001067646,0.071647807
2015,583613,316832,534764,296606,48884.6,1780699.6,18774069.5,-9.22689039,120.4907651,48.15869674,36.79952771,136.8589107,28.5678897,-2.881228693,0.031086121,0.016876043,0.028484181,0.015798706,0.002603836,0.094848887
2016,608960,356313,547815,332034,53128.2,1898250.2,20222191.7,4.343117785,12.46117816,2.440515816,11.94446505,8.680852457,6.601371731,7.713416636,0.030113452,0.0176199,0.027089794,0.016419289,0.002627223,0.093869657
2017,883771,548028,728466,521529,84603.2,2766397.2,23129340,45.12792302,53.80522181,32.97664357,57.07096261,59.24349027,45.73406604,14.37602978,0.038209953,0.023694061,0.031495322,0.022548374,0.00365783,0.11960554
