DATE,ATM,Cash
5/1/2009 12:00:00 AM,ATM1,96
5/1/2009 12:00:00 AM,ATM2,107
5/2/2009 12:00:00 AM,ATM1,82
5/2/2009 12:00:00 AM,ATM2,89
5/3/2009 12:00:00 AM,ATM1,85
5/3/2009 12:00:00 AM,ATM2,90
5/4/2009 12:00:00 AM,ATM1,90
5/4/2009 12:00:00 AM,ATM2,55
5/5/2009 12:00:00 AM,ATM1,99
5/5/2009 12:00:00 AM,ATM2,79
5/6/2009 12:00:00 AM,ATM1,88
5/6/2009 12:00:00 AM,ATM2,19
5/7/2009 12:00:00 AM,ATM1,8
5/7/2009 12:00:00 AM,ATM2,2
5/8/2009 12:00:00 AM,ATM1,104
5/8/2009 12:00:00 AM,ATM2,103
5/9/2009 12:00:00 AM,ATM1,87
5/9/2009 12:00:00 AM,ATM2,107
5/10/2009 12:00:00 AM,ATM1,93
5/10/2009 12:00:00 AM,ATM2,118
5/11/2009 12:00:00 AM,ATM1,86
5/11/2009 12:00:00 AM,ATM2,75
5/12/2009 12:00:00 AM,ATM1,111
5/12/2009 12:00:00 AM,ATM2,111
5/13/2009 12:00:00 AM,ATM1,75
5/13/2009 12:00:00 AM,ATM2,25
5/14/2009 12:00:00 AM,ATM1,6
5/14/2009 12:00:00 AM,ATM2,16
5/15/2009 12:00:00 AM,ATM1,102
5/15/2009 12:00:00 AM,ATM2,137
5/16/2009 12:00:00 AM,ATM1,73
5/16/2009 12:00:00 AM,ATM2,95
5/17/2009 12:00:00 AM,ATM1,92
5/17/2009 12:00:00 AM,ATM2,103
5/18/2009 12:00:00 AM,ATM1,82
5/18/2009 12:00:00 AM,ATM2,80
5/19/2009 12:00:00 AM,ATM1,86
5/19/2009 12:00:00 AM,ATM2,118
5/20/2009 12:00:00 AM,ATM1,73
5/20/2009 12:00:00 AM,ATM2,30
5/21/2009 12:00:00 AM,ATM1,20
5/21/2009 12:00:00 AM,ATM2,7
5/22/2009 12:00:00 AM,ATM1,100
5/22/2009 12:00:00 AM,ATM2,118
5/23/2009 12:00:00 AM,ATM1,93
5/23/2009 12:00:00 AM,ATM2,104
5/24/2009 12:00:00 AM,ATM1,90
5/24/2009 12:00:00 AM,ATM2,59
5/25/2009 12:00:00 AM,ATM1,94
5/25/2009 12:00:00 AM,ATM2,40
5/26/2009 12:00:00 AM,ATM1,98
5/26/2009 12:00:00 AM,ATM2,106
5/27/2009 12:00:00 AM,ATM1,73
5/27/2009 12:00:00 AM,ATM2,18
5/28/2009 12:00:00 AM,ATM1,10
5/28/2009 12:00:00 AM,ATM2,9
5/29/2009 12:00:00 AM,ATM1,97
5/29/2009 12:00:00 AM,ATM2,136
5/30/2009 12:00:00 AM,ATM1,102
5/30/2009 12:00:00 AM,ATM2,118
5/31/2009 12:00:00 AM,ATM1,85
5/31/2009 12:00:00 AM,ATM2,64
6/1/2009 12:00:00 AM,ATM1,85
6/1/2009 12:00:00 AM,ATM2,77
6/2/2009 12:00:00 AM,ATM1,108
6/2/2009 12:00:00 AM,ATM2,133
6/3/2009 12:00:00 AM,ATM1,94
6/3/2009 12:00:00 AM,ATM2,45
6/4/2009 12:00:00 AM,ATM1,14
6/4/2009 12:00:00 AM,ATM2,14
6/5/2009 12:00:00 AM,ATM1,3
6/5/2009 12:00:00 AM,ATM2,20
6/6/2009 12:00:00 AM,ATM1,96
6/6/2009 12:00:00 AM,ATM2,147
6/7/2009 12:00:00 AM,ATM1,109
6/7/2009 12:00:00 AM,ATM2,105
6/8/2009 12:00:00 AM,ATM1,96
6/8/2009 12:00:00 AM,ATM2,132
6/9/2009 12:00:00 AM,ATM1,145
6/9/2009 12:00:00 AM,ATM2,93
6/10/2009 12:00:00 AM,ATM1,81
6/10/2009 12:00:00 AM,ATM2,26
6/11/2009 12:00:00 AM,ATM1,16
6/11/2009 12:00:00 AM,ATM2,7
6/12/2009 12:00:00 AM,ATM1,142
6/12/2009 12:00:00 AM,ATM2,112
6/13/2009 12:00:00 AM,ATM1,102
6/13/2009 12:00:00 AM,ATM2,91
6/14/2009 12:00:00 AM,ATM1,120
6/14/2009 12:00:00 AM,ATM2,72
6/15/2009 12:00:00 AM,ATM1,106
6/15/2009 12:00:00 AM,ATM2,66
6/16/2009 12:00:00 AM,ATM1,130
6/16/2009 12:00:00 AM,ATM2,82
