Date,Open,High,Low,Close,Adj Close,Volume
2007,79.949997,80.75,62.970001,69.599998,56.727345,611609700
2008,48.200001,53.189999,43.959999,46.919998,38.777584,845359300
2009,57.919998,60.869999,54.220001,54.5,45.955925,396907400
2010,68.900002,73.150002,67.489998,73.150002,62.744091,299608500
2011,70.599998,73.160004,68.739998,70.690002,61.561729,289250700
2012,72.949997,78.589996,72,77.349998,68.600517,195100300
2013,87.980003,88.239998,83.029999,83.379997,75.330711,265078800
2014,78.730003,79.790001,71.699997,75.550003,69.695953,660949900
2015,60.16,60.779999,49.93,58.209999,55.321609,614354600
2016,76.110001,76.809998,72.129997,72.900002,71.034409,227674600
2017,69.589996,70.75,66.690002,69.239998,69.239998,120159000
