Date,Open,High,Low,Close,Adj Close,Volume
2007,39.049999,39.209999,32.400002,37,29.969997,206244400
2008,23.52,24.74,20.4,20.610001,17.103443,263342400
2009,28.09,29.610001,27.309999,27.379999,23.367275,229985700
2010,35.049999,36.82,34.73,36.240002,31.506521,222438200
2011,34.41,36.919998,34.150002,36.220001,32.176346,236939600
2012,38.720001,40.91,38.52,40.080002,36.438671,167044500
2013,51.98,52.32,49.439999,50.029999,46.36161,225999800
2014,56.860001,56.939999,53.889999,55.990002,52.889759,289971500
2015,52.110001,52.529999,46.82,49.990002,48.223152,308903300
2016,62.68,64.849998,62.349998,63.380001,62.510082,223776200
2017,74.379997,75.309998,72.760002,74.400002,74.400002,131513900
