Date,Open,High,Low,Close,Adj Close,Volume
2007,28.530001,28.91,24.379999,27.200001,20.930544,114797500
2008,23.940001,24.43,22.01,22.15,17.475266,135042200
2009,26.450001,27.040001,26.16,26.200001,21.301561,167681500
2010,29.43,29.719999,28.799999,28.879999,24.127422,127493400
2011,32.689999,32.779999,31.84,32.029999,27.540516,154887800
2012,35.400002,37.060001,35.290001,36.869999,32.678493,101413500
2013,42.849998,42.869999,40.32,40.759998,37.052212,269792300
2014,48.619999,50.220001,47.810001,48.02,44.774654,188369200
2015,49.830002,50.830002,47.389999,50.759998,48.578964,318638800
2016,51.75,53.099998,51.349998,52.59,51.590683,243957000
2017,55.93,57.040001,55.330002,56.66,56.66,141334700
