Date,Open,High,Low,Close,Adj Close,Volume
2007,42.150002,44.110001,36.049999,39.220001,27.074726,184879000
2008,29.34,30.469999,27.549999,28.98,20.737816,133497000
2009,31.280001,31.360001,29.48,29.530001,22.090677,188381200
2010,31.469999,32.209999,31.23,31.719999,24.733492,105488500
2011,36.18,36.25,34.139999,34.68,28.180326,172756200
2012,35.360001,36.66,35.09,36.580002,30.944126,151387200
2013,37.919998,39.18,37.110001,39.099998,34.393425,230478300
2014,47.669998,49.779999,46.650002,48.189999,43.884285,322999700
2015,43.029999,45.459999,42.450001,45.419998,42.902817,291834400
2016,48.5,49.220001,47.849998,49.18,48.049774,259721000
2017,56.790001,56.900002,54.900002,55.330002,55.330002,155410700
