Date,Open,High,Low,Close,Adj Close,Volume
2007,35.630001,36.610001,30.360001,33.700001,28.335854,117396900
2008,26.559999,27.23,25.139999,26.23,22.494497,107335900
2009,31.469999,33.16,31.27,31.280001,27.397068,179354400
2010,31.67,32.360001,31.559999,31.68,28.271597,133576200
2011,35.099998,36.130001,34.709999,35.799999,32.606831,130519800
2012,40.68,43.290001,40.380001,42.91,39.902225,119476200
2013,55.310001,57.5,54.950001,55.959999,52.93288,178887000
2014,68.709999,71.360001,67.629997,70.940002,68.078903,298022100
2015,70.769997,71.379997,64.860001,66.470001,64.693512,332090000
2016,69.309998,71.910004,68.75,70.519997,69.730637,173614500
2017,83.43,84.220001,81.709999,83.129997,83.129997,87103600
